"","year","trait","GEN","value"
"220",17,"FN","L0400",217.03837412
"221",17,"FN","L1335",200.33335631
"222",17,"FN","L0728",231.74713632
"223",17,"FN","L0162",243.01967283
"224",17,"FN","L0619",160.29950961
"225",17,"FN","L1211",233.05084677
"226",17,"FN","L0776",243.77363419
"227",17,"FN","L0212",256.37056634
"228",17,"FN","L0011",241.16932488
"229",17,"FN","L0991",230.16463252
"230",17,"FN","L0635",186.41889466
"231",17,"FN","L0450",224.92782422
"232",17,"FN","L0178",190.53596791
"233",17,"FN","L0599",201.81845379
"234",17,"FN","L0059",279.9872031
"235",17,"FN","L0594",214.84693138
"236",17,"FN","L0668",219.68978115
"237",17,"FN","L0094",191.62285944
"238",17,"FN","L0960",134.1647915
"239",17,"FN","L0796",185.44504124
"240",17,"FN","L0878",241.37110883
"241",17,"FN","L0622",185.5871996
"242",17,"FN","L1311",257.60857356
"243",17,"FN","L0908",256.5548799
"244",17,"FN","L1066",165.29561103
"245",17,"FN","L0355",158.45035474
"246",17,"FN","L0782",244.03543732
"247",17,"FN","L1202",168.79981638
"248",17,"FN","L1034",217.95357834
"249",17,"FN","L0251",237.17727513
"250",17,"FN","L1333",197.99446804
"251",17,"FN","L0775",212.99471338
"252",17,"FN","L1359",231.1865087
"253",17,"FN","L1075",127.14256923
"254",17,"FN","L1044",227.69580339
"255",17,"FN","L1025",266.08484241
"256",17,"FN","L0396",211.75650045
"257",17,"FN","L0384",238.29881433
"258",17,"FN","L0160",229.94074412
"259",17,"FN","L1225",180.25837611
"260",17,"FN","L0648",165.53747315
"261",17,"FN","L1307",173.94967399
"262",17,"FN","L0920",243.46162518
"263",17,"FN","L0693",248.42083556
"264",17,"FN","L1081",190.0822192
"265",17,"FN","L1325",158.04648098
"266",17,"FN","L1088",250.73923035
"267",17,"FN","L1271",154.5611337
"268",17,"FN","L0713",202.52892342
"269",17,"FN","L1224",196.80483297
"270",17,"FN","L0678",218.17157165
"271",17,"FN","L0180",214.59561259
"272",17,"FN","L0023",234.03008994
"273",17,"FN","L0148",240.05659458
"274",17,"FN","L0557",150.91321969
"275",17,"FN","L0630",247.60008091
"276",17,"FN","L0315",214.97949438
"277",17,"FN","L1288",218.43899256
"278",17,"FN","L0998",218.82909979
"279",17,"FN","L1214",175.78384269
"280",17,"FN","L0788",259.41410077
"281",17,"FN","L0189",181.44236727
"282",17,"FN","L1076",222.47683263
"283",17,"FN","L0340",231.09038212
"284",17,"FN","L0207",211.9577599
"285",17,"FN","L0864",205.66412588
"286",17,"FN","L0170",250.37528538
"287",17,"FN","L0241",240.71686929
"288",17,"FN","L1057",156.19196562
"289",17,"FN","L0117",124.14545077
"290",17,"FN","L0828",265.07803881
"291",17,"FN","L1226",230.77348214
"292",17,"FN","L1077",236.34240407
"293",17,"FN","L0718",130.28973673
"294",17,"FN","L0508",157.79666021
"295",17,"FN","L0854",125.02504941
"296",17,"FN","L0536",226.6151792
"297",17,"FN","L0086",190.39491469
"298",17,"FN","L0095",254.86424605
"299",17,"FN","L1339",266.22170648
"300",17,"FN","L0637",250.55410905
"301",17,"FN","L1149",213.27857075
"302",17,"FN","L0242",296.80251052
"303",17,"FN","L0984",250.31394456
"304",17,"FN","L1022",210.20542344
"305",17,"FN","L0477",290.51646099
"306",17,"FN","L1372",229.51410668
"307",17,"FN","L0926",244.65130359
"308",17,"FN","L0411",253.61503031
"309",17,"FN","L0886",131.46864078
"310",17,"FN","L0115",214.96162276
"311",17,"FN","L1181",135.97653554
"312",17,"FN","L0848",216.64314227
"313",17,"FN","L0704",175.579008
"314",17,"FN","L1176",233.4522494
"315",17,"FN","L1342",127.35799262
"316",17,"FN","L0706",202.76845265
"317",17,"FN","L0485",139.39026446
"318",17,"FN","L0376",261.90439896
"319",17,"FN","L0119",242.1129327
"320",17,"FN","L0191",240.89288041
"321",17,"FN","L1046",172.90001026
"322",17,"FN","L0040",219.25992046
"323",17,"FN","L0499",147.90902944
"324",17,"FN","L0200",280.07738455
"325",17,"FN","L0129",108.02188688
"326",17,"FN","L0264",114.03384239
"327",17,"FN","L1192",213.29945655
"328",17,"FN","L0692",226.19098752
"329",17,"FN","L0942",124.66604451
"330",17,"FN","L0560",222.84292407
"331",17,"FN","L0339",184.71777629
"332",17,"FN","L0106",198.58722219
"333",17,"FN","L1317",189.67129013
"334",17,"FN","L1278",127.21098213
"335",17,"FN","L0877",130.62182155
"336",17,"FN","L0457",209.58477428
"337",17,"FN","L1124",160.03729535
"338",17,"FN","L0204",169.53601463
"339",17,"FN","L0592",218.20786749
"340",17,"FN","L1336",204.45428943
"341",17,"FN","L0547",141.96985152
"342",17,"FN","L0385",242.86152104
"343",17,"FN","L1188",213.49658599
"344",17,"FN","L1310",216.34179664
"345",17,"FN","L0730",242.43675701
"346",17,"FN","L0024",128.96575624
"347",17,"FN","L0151",183.88093654
"348",17,"FN","L1347",247.49251818
"349",17,"FN","L0576",244.73779157
"350",17,"FN","L0606",186.07482394
"351",17,"FN","L0837",160.41047366
"352",17,"FN","L0986",204.16167256
"353",17,"FN","L0185",176.48184005
"354",17,"FN","L0744",147.83969639
"355",17,"FN","L1269",282.06397957
"356",17,"FN","L0846",149.90747861
"357",17,"FN","L0677",231.73261385
"358",17,"FN","L0120",129.20542885
"359",17,"FN","L0470",204.28964375
"360",17,"FN","L0285",208.83849724
"361",17,"FN","L0025",155.40649193
"362",17,"FN","L0507",213.37954721
"363",17,"FN","L0603",235.93204343
"364",17,"FN","L0876",212.53822146
"365",17,"FN","L0634",174.00029783
"366",17,"FN","L0078",218.33197212
"367",17,"FN","L0529",266.56344689
"368",17,"FN","L1294",156.16665939
"369",17,"FN","L1110",283.04791485
"370",17,"FN","L0349",259.68283171
"371",17,"FN","L0229",273.06940519
"372",17,"FN","L0639",249.2907539
"373",17,"FN","L0383",209.75998306
"374",17,"FN","L0261",167.50797437
"375",17,"FN","L0985",230.35794623
"376",17,"FN","L0310",153.16283808
"377",17,"FN","L0554",219.10281122
"378",17,"FN","L1295",212.79253583
"379",17,"FN","L1218",215.73409955
"380",17,"FN","L1228",145.12796398
"381",17,"FN","L1223",173.32563199
"382",17,"FN","L0239",254.0085249
"383",17,"FN","L0862",173.97656537
"384",17,"FN","L0600",222.27169267
"385",17,"FN","L1284",165.51249196
"386",17,"FN","L0962",178.47702148
"387",17,"FN","L0194",232.51965511
"388",17,"FN","L1250",138.89919849
"389",17,"FN","L1362",222.03873511
"390",17,"FN","L0103",199.72178606
"391",17,"FN","L1354",209.88612162
"392",17,"FN","L0076",224.68555589
"393",17,"FN","L1201",271.19314597
"394",17,"FN","L1119",218.69163127
"395",17,"FN","L0617",78.44481028
"396",17,"FN","L0037",220.30076005
"397",17,"FN","L0839",172.10804336
"398",17,"FN","L0633",197.87382125
"399",17,"FN","L0494",265.17542033
"400",17,"FN","L0433",194.54635237
"401",17,"FN","L0779",206.72471486
"402",17,"FN","L0028",165.64929573
"403",17,"FN","L0797",208.48975269
"404",17,"FN","L0381",126.26162905
